tx_time,tx_slot,tx_time_ms,h_id,tbs,rv,nrtx,success,outcome,reason
2025-12-05 21:23:51.453942,757.13,7576.5,6,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.454391,757.14,7577.0,13,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.454860,757.15,7577.5,14,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.455374,757.16,7578.0,7,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.457403,758.0,7580.0,8,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.457978,758.1,7580.5,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.458447,758.2,7581.0,12,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.458893,758.3,7581.5,15,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.459358,758.4,7582.0,11,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.459938,758.5,7582.5,10,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.460443,758.6,7583.0,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.460921,758.7,7583.5,13,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.462453,758.1,7580.5,14,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.462943,758.11,7585.5,6,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.463398,758.12,7586.0,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.463869,758.13,7586.5,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.464438,758.14,7587.0,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.464906,758.15,7587.5,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.465413,758.16,7588.0,3,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.467431,759.0,7590.0,10,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.467880,759.1,7590.5,11,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.468490,759.2,7591.0,15,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.468904,759.3,7591.5,12,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.469398,759.4,7592.0,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.469870,759.5,7592.5,8,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.470368,759.6,7593.0,7,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.470975,759.7,7593.5,2,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.472372,759.1,7590.5,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.472954,759.11,7595.5,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.473451,759.12,7596.0,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.473897,759.13,7596.5,6,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.474342,759.14,7597.0,14,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.474935,759.15,7597.5,13,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.475433,759.16,7598.0,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.477453,760.0,7600.0,8,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.477930,760.1,7600.5,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.478400,760.2,7601.0,12,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.478846,760.3,7601.5,15,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.479430,760.4,7602.0,11,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
