time,ue,rnti,h_id,slot,ack,tbs,type
2025-12-05 21:24:07.706417,0,0x4601,12,334.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,7,334.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,5,334.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,8,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,6,334.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,4,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,15,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,0,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,13,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.710433,0,0x4601,10,334.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.711965,0,0x4601,1,334.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,11,335.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,5,335.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,7,335.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,12,335.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,14,335.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716448,0,0x4601,9,335.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.716917,0,0x4601,2,335.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,10,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,13,335.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,1,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,0,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,15,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,4,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.720503,0,0x4601,6,335.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.721892,0,0x4601,8,335.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,3,336.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,2,336.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,9,336.8,1,4737.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,14,336.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,12,336.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,7,336.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.726368,0,0x4601,5,336.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,6,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,4,336.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,8,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,15,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,0,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,1,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.730849,0,0x4601,13,336.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.731433,0,0x4601,10,336.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,11,337.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,5,337.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,7,337.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,12,337.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,14,337.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.735956,0,0x4601,9,337.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.736401,0,0x4601,2,337.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,3,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,13,337.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,10,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,1,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,0,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,15,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.740911,0,0x4601,8,337.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.741954,0,0x4601,4,337.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.745994,0,0x4601,11,338.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.746465,0,0x4601,6,338.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.746465,0,0x4601,9,338.8,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.746465,0,0x4601,2,338.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.746465,0,0x4601,14,338.8,1,5889.0,HARQ-ACK
