time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.352930,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.353378,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.353961,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.354410,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.354879,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.355387,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.357416,0,0x4601,11,27,3521,0,0,PDSCH
2025-12-05 21:24:01.357866,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.358455,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.358900,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.359384,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.359854,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.360471,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.360938,0,0x4601,7,27,2817,0,0,PDSCH
2025-12-05 21:24:01.362495,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.362948,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.363438,0,0x4601,3,27,2817,0,0,PDSCH
2025-12-05 21:24:01.364931,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.365432,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.365891,0,0x4601,8,27,2817,0,0,PDSCH
2025-12-05 21:24:01.367405,0,0x4601,2,27,3521,0,0,PDSCH
2025-12-05 21:24:01.367927,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.368371,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.368977,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.369428,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.369868,0,0x4601,11,27,5889,0,0,PDSCH
