pw,mean,std,count,median
1695.0,33.66531578947368,21.237491877548376,38,26.25
1700.0,23.137421052631577,27.86388880586288,38,6.24
1705.0,23.981710526315787,26.2050600425349,38,6.869999999999999
1710.0,30.9915,22.260305808528084,38,19.6
1715.0,23.530846153846152,25.176225541212972,39,8.38
1720.0,23.180384615384614,24.886774942374288,39,8.04
1725.0,36.81260526315789,19.84765028170429,38,29.75
1730.0,27.468179487179487,24.297448976851992,39,16.4
1735.0,25.635358974358976,24.7343523714725,39,9.59
1740.0,28.448102564102562,23.077458193514605,39,17.3
1745.0,32.504230769230766,21.750384482338575,39,25.0
1749.9999999999002,31.751973684210526,22.35156076839093,38,20.25
1754.9999999999002,29.15178947368421,23.09453754316936,38,18.25
1759.9999999999002,24.31658974358974,24.647344142948644,39,9.41
1764.9999999999,24.128615384615383,25.10013158868357,39,9.42
1769.9999999999,24.525948717948715,25.860411456152654,39,9.0
1774.9999999999,23.40797435897436,25.133462301007544,39,8.02
1780.0,21.776820512820514,25.543477696573692,39,6.51
1785.0,21.828131578947367,24.81529957688053,38,6.62
1790.0,26.866736842105265,24.902159946135804,38,13.55
1795.0,23.93046153846154,25.657029574189803,39,8.29
1800.0,17.785314285714286,25.598895422828452,35,0.024
1805.0,24.161846153846152,25.854868396838025,39,8.07
1810.0,24.55171052631579,25.48734145361967,38,8.34
1815.0,32.63748717948718,20.157503307011996,39,30.6
1820.0,24.589894736842105,25.71010672109787,38,7.965
1825.0,26.207425,24.857031168404877,40,13.350000000000001
1829.9999999999,26.13348717948718,23.22040838966288,39,18.7
1834.9999999999002,32.10776315789474,22.032678820866764,38,30.25
1839.9999999999002,29.401179487179487,23.128971260568413,39,20.0
1844.9999999999002,30.609923076923078,22.708938445819793,39,22.1
1849.9999999999,25.44088888888889,26.927191911075187,36,14.85
1854.9999999999,32.30228205128205,21.986031670787703,39,26.2
1859.9999999999,34.092128205128205,21.592674866819614,39,26.7
1865.0,25.753657894736843,24.911195909401012,38,9.655000000000001
1870.0,29.12715384615385,22.85948748393848,39,18.7
1875.0,21.992102564102563,24.21767539345773,39,7.8
1880.0,29.260871794871793,23.414023418477775,39,17.9
1885.0,24.280871794871793,26.11223485182406,39,10.3
1890.0,33.83305128205128,21.41556432517532,39,27.0
1895.0,23.77679487179487,26.364095280453213,39,9.21
1900.0,26.18076923076923,24.713072368007925,39,13.9
1905.0,29.501461538461538,23.131072152826622,39,22.2
1909.9999999999,35.10976315789474,20.74026212849312,38,27.9
1914.9999999999002,25.002564102564104,25.592243681893432,39,8.79
1919.9999999999002,33.97397435897436,21.408462033906588,39,26.6
1924.9999999999002,24.379102564102563,25.45691515482051,39,9.02
1929.9999999999,31.007230769230766,22.463628878538575,39,20.2
1934.9999999999,35.1001,21.199873850374555,40,30.15
1939.9999999999,25.87402631578947,21.72750593202809,38,20.85
1945.0,27.563384615384614,24.08401447959707,39,17.2
1950.0,35.863794871794866,20.47950347128805,39,30.4
1954.9999999999,31.241473684210526,22.176980920371737,38,20.05
1960.0,33.758717948717944,21.410733627575333,39,27.2
1964.9999999999,28.161823529411762,30.8303618030086,17,8.31
1970.0,33.643307692307694,21.236939052600935,39,26.4
1974.9999999999,35.53564102564102,20.52944767566206,39,29.6
1980.0,27.00007894736842,24.951177520154182,38,15.45
1984.9999999999998,26.967256410256407,24.305864929789173,39,15.9
1990.0,28.502736842105264,24.044398334752056,38,16.25
1994.9999999999998,17.055918918918916,25.660848957960127,37,1.82
2000.0,29.258342105263157,23.369823966627397,38,17.3
2004.9999999999998,28.14576923076923,24.02068720637269,39,18.3
2010.0,27.548236842105265,24.43580794038017,38,15.149999999999999
2014.9999999999998,35.72274358974359,20.52724115684986,39,30.1
2020.0,25.093131578947368,24.950294490133402,38,9.68
2025.0,23.233820512820515,25.674548455898982,39,6.86
2030.0000000000002,30.61825,30.825277797072104,16,23.75
2035.0,0.014710526315789474,0.008199894181047085,38,0.011
